"kingdom","phylum","class","order","family","genus","species","aquatic","terrestrial","L1_April22","L2_April22","L3_April22","L4_April22","L5_April22","L6_April22","L7_April22","L8_April22","L9_April22","L10_April22","L11_April22","L12_April22","L1_May22","L2_May22","L3_May22","L4_May22","L5_May22","L6_May22","L7_May22","L8_May22","L9_May22","L10_May22","L11_May22","L12_May22","L1_June22","L2_June22","L3_June22","L4_June22","L5_June22","L6_June22","L7_June22","L8_June22","L9_June22","L10_June22","L11_June22","L12_June22","L1_July22","L2_July22","L3_July22","L4_July22","L5_July22","L6_July22","L7_July22","L8_July22","L9_July22","L10_July22","L11_July22","L12_July22","L1_Aug22","L2_Aug22","L3_Aug22","L4_Aug22","L5_Aug22","L6_Aug22","L7_Aug22","L8_Aug22","L9_Aug22","L10_Aug22","L11_Aug22","L12_Aug22","L1_Sept22","L2_Sept22","L3_Sept22","L4_Sept22","L5_Sept22","L6_Sept22","L7_Sept22","L8_Sept22","L9_Sept22","L10_Sept22","L11_Sept22","L12_Sept22","L1_Oct22","L2_Oct22","L3_Oct22","L4_Oct22","L5_Oct22","L6_Oct22","L7_Oct22","L8_Oct22","L9_Oct22","L10_Oct22","L11_Oct22","L12_Oct22","L1_Nov22","L2_Nov22","L3_Nov22","L4_Nov22","L5_Nov22","L6_Nov22","L7_Nov22","L8_Nov22","L9_Nov22","L10_Nov22","L11_Nov22","L12_Nov22","L1_Dec22","L3_Dec22","L4_Dec22","L5_Dec22","L6_Dec22","L7_Dec22","L8_Dec22","L9_Dec22","L10_Dec22","L11_Dec22","L12_Dec22","L1_Janv23","L2_Janv23","L3_Janv23","L4_Janv23","L5_Janv23","L6_Janv23","L7_Janv23","L8_Janv23","L9_Janv23","L10_Janv23","L11_Janv23","L12_Janv23","L1_Feb23","L2_Feb23","L3_Feb23","L4_Feb23","L5_Feb23","L6_Feb23","L7_Feb23","L8_Feb23","L9_Feb23","L10_Feb23","L11_Feb23","L12_Feb23","L1_March23","L2_March23","L3_March23","L4_March23","L5_March23","L6_March23","L7_March23","L8_March23","L9_March23","L10_March23","L11_March23","L12_March23","L1_Apr23","L2_Apr23","L3_Apr23","L4_Apr23","L5_Apr23","L6_Apr23","L7_Apr23","L8_Apr23","L9_Apr23","L10_Apr23","L11_Apr23","L12_Apr23","T1_March22","T2_March22","T3_March22","T4_March22","T5_March22","T6_March22","T1_June22","T2_June22","T3_June22","T4_June22","T5_June22","T6_June22","T1_Sept22","T2_Sept22","T3_Sept22","T4_Sept22","T5_Sept22","T6_Sept22","T1_Jan23","T2_Jan23","T3_Jan23","T4_Jan23","T5_Jan23","T6_Jan23","T1_March23","T2_March23","T3_March23","T4_March23","T5_March23","T6_March23"
"Protozoa","Hemimastigophora",NA,NA,"Spironemidae",NA,NA,"1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chromista","Haptophyta",NA,NA,NA,NA,NA,"1","1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chromista","Heliozoa","Centroplasthelida","Centrohelida",NA,NA,NA,"1","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0
"Chromista","Heliozoa","Centroplasthelida","Centrohelida",NA,NA,NA,"1","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chromista","Heliozoa","Centroplasthelida","Centrohelida","Heterophryidae","Sphaerastrum","Sphaerastrum fockii","1","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chromista","Heliozoa","Centroplasthelida","Centrohelida","Pterocystidae",NA,NA,"1","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chromista","Heliozoa","Centroplasthelida","Centrohelida","Heterophryidae","Chlamydaster",NA,"1","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0
"Chromista","Heliozoa","Centroplasthelida","Centrohelida","Heterophryidae","Chlamydaster","Chlamydaster sterni","1","0",1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chromista","Heliozoa","Centroplasthelida","Centrohelida","Heterophryidae","Chlamydaster","Chlamydaster sp.","1","0",0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1
"Chromista","Heliozoa","Centroplasthelida","Centrohelida","Pterocystidae","Pterocystis","Pterocystis sp. Oxford4","1","0",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1
