"Samples_ID","number","Collection_month","Year_collection","Collection_date","Block_ID","Lake_ID","filter_pore_size","Bological_Replicates","UTC","Hour_Collection_start","Hour_Collection_end","L_F","L_M","L_SC","L_SL","L_tot_filtered","Treatment","Sampling_type","Pompe","expe","Comments_field","Transfer_date","Extraction_date","Sample_ID","Sample_Type","type","control_type","Sample","Replicate"
"L7_0.45_Oct22",313,"October",2022,"21.10.2022","B2","L7","0.45",NA,"summer","14:05:00","14:20:00","1","1","1","1","4","none","Monthly",NA,"BD","",NA,NA,"100_rep1","sample","sample",NA,"100",1
"L8_0.45_Oct22",315,"October",2022,"21.10.2022","B2","L8","0.45",NA,"summer","14:15:00","14:30:00","1","1","1","1","4","N","Monthly",NA,NA,"",NA,NA,"101_rep1","sample","sample",NA,"101",1
"L10_0.45_Oct22",319,"October",2022,"21.10.2022","B3","L10","0.45",NA,"summer","14:55:00","15:15:00","1","1","1","1","4","P","Monthly",NA,NA,"",NA,NA,"103_rep2","sample","sample",NA,"103",2
"L11_0.45_Oct22",321,"October",2022,"21.10.2022","B3","L11","0.45",NA,"summer","14:36:00","15:12:00","1","0,89","0,47","0,47","2,83","N","Monthly",NA,NA,"",NA,NA,"104_rep1","sample","sample",NA,"104",1
"L12_0.45_Oct22",323,"October",2022,"21.10.2022","B3","L12","0.45",NA,"summer","14:40:00","14:54:00","1","1","1","1","4","none","Monthly",NA,NA,"",NA,NA,"105_rep2","sample","sample",NA,"105",2
"L1_0.45_Nov22",325,"November",2022,"18.11.2022","B1","L1","0.1",NA,"winter","12:27:00","12:43:00","1","1","1","1","4","N","Monthly",NA,"Simon","",NA,NA,"106_rep1","sample","sample",NA,"106",1
"L2_0.45_Nov22",327,"November",2022,"18.11.2022","B1","L2","0.45",NA,"winter","12:29:00","12:45:00","1","1","1","1","4","none","Monthly",NA,"Stephane","",NA,NA,"107_rep2","sample","sample",NA,"107",2
"L3_0.45_Nov22",329,"November",2022,"18.11.2022","B1","L3","0.45",NA,"winter","12:30:00","12:45:00","1","1","1","1","4","NP","Monthly",NA,"Beatriz","",NA,NA,"108_rep2","sample","sample",NA,"108",2
"L4_0.45_Nov22",331,"November",2022,"18.11.2022","B1","L4","0.45",NA,"winter","12:30:00","12:56:00","1","1","1","1","4","P","Monthly",NA,"Gerard","",NA,NA,"109_rep1","sample","sample",NA,"109",1
"L5_0.45_Nov22",333,"November",2022,"18.11.2022","B2","L5","0.45",NA,"winter","13:13:00","13:44:00","1","1","0,7","0,45","3,15","P","Monthly",NA,NA,"",NA,NA,"110_rep1","sample","sample",NA,"110",1
"L6_0.45_Nov22",335,"November",2022,"18.11.2022","B2","L6","0.45",NA,"winter","13:01:00","13:10:00","1","1","1","1","4","NP","Monthly",NA,"Stephane","",NA,NA,"111_rep2","sample","sample",NA,"111",2
"L7_0.45_Nov22",337,"November",2022,"18.11.2022","B2","L7","0.45",NA,"winter","13:01:00","13:25:00","1","1","1","1","4","none","Monthly",NA,"Beatriz","",NA,NA,"112_rep1","sample","sample",NA,"112",1
"L8_0.45B_Nov22",339,"November",2022,"18.11.2022","B2","L8","0.45B","blue","winter","13:06:00","13:35:00","1","1","1","1","4","N","Monthly",NA,"Gerard","",NA,NA,"113_rep1","sample","sample",NA,"113",1
"L8_0.45O_Nov22",341,"November",2022,"18.11.2022","B2","L8","0.45O","orange ","winter","13:06:00","13:35:00","1","1","1","1","4","N","Monthly",NA,"Gerard","",NA,NA,"114_rep1","sample","sample",NA,"114",1
"L8_0.45R_Nov22",343,"November",2022,"18.11.2022","B2","L8","0.45R","red","winter","13:06:00","13:35:00","1","1","1","1","4","N","Monthly",NA,"Gerard","",NA,NA,"115_rep3","sample","sample",NA,"115",3
"L11_0.45_July22",193,"July",2022,"21.07.2022","B3","L11","0.45",NA,"summer","15:34:00","16:08:00","1","1","0,9","0,68","3,58","N","Monthly","one",NA,"",NA,NA,"59_rep2","sample","sample",NA,"59",2
"L12_0.45_July22",195,"July",2022,"21.07.2022","B3","L12","0.45",NA,"summer","15:41:00","16:05:00","1","1","1","1","4","none","Monthly","three",NA,"",NA,NA,"60_rep2","sample","sample",NA,"60",2
"L1_0.45_Aug22",197,"August",2022,"18.08.2022","B1","L1","0.45",NA,"summer","13:26:00","13:43:00","1","1","1","1","4","N","Monthly","three",NA,"",NA,NA,"61_rep1","sample","sample",NA,"61",1
"L2_0.45_Aug22",199,"August",2022,"18.08.2022","B1","L2","0.45",NA,"summer","13:26:00","13:37:00","1","1","1","1","4","none","Monthly","two",NA,"",NA,NA,"62_rep3","sample","sample",NA,"62",3
"L3_0.45_Aug22",201,"August",2022,"18.08.2022","B1","L3","0.45",NA,"summer","13:26:00","13:53:00","1","1","1","0,6","3,6","NP","Monthly","one",NA,"",NA,NA,"63_rep3","sample","sample",NA,"63",3
