"Samples_ID","number","Collection_month","Year_collection","Collection_date","Block_ID","Lake_ID","filter_pore_size","Bological_Replicates","UTC","Hour_Collection_start","Hour_Collection_end","L_F","L_M","L_SC","L_SL","L_tot_filtered","Treatment","Sampling_type","Pompe","expe","Comments_field","Transfer_date","Extraction_date","Sample_ID","Sample_Type","type","control_type","Sample","Replicate"
"L7_0.45_March23",461,"March",2023,"28.03.2023","B2","L7","0.45",NA,"summer","14:05:00","14:20:00","1","1","1","1","4","none","Monthly",NA,NA,"",NA,NA,"175_rep3","sample","sample",NA,"175",3
"L8_0.45_March23",462,"March",2023,"28.03.2023","B2","L8","0.45",NA,"summer","14:15:00","14:30:00","1","1","1","1","4","N","Monthly",NA,NA,"",NA,NA,"176_rep1","sample","sample",NA,"176",1
"L9_0.45_March23",463,"March",2023,"28.03.2023","B3","L9","0.45",NA,"summer","15:03:00","15:12:00","1","1","1","1","4","NP","Monthly",NA,NA,"",NA,NA,"177_rep3","sample","sample",NA,"177",3
"L10_0.45_March23",464,"March",2023,"28.03.2023","B3","L10","0.45",NA,"summer","14:55:00","15:15:00","1","1","1","1","4","P","Monthly",NA,NA,"",NA,NA,"178_rep1","sample","sample",NA,"178",1
"L11_0.45_March23",465,"March",2023,"28.03.2023","B3","L11","0.45",NA,"summer","14:36:00","15:12:00","1","1","1","1","4","N","Monthly",NA,NA,"",NA,NA,"179_rep2","sample","sample",NA,"179",2
"L12_0.45_March23",466,"March",2023,"28.03.2023","B3","L12","0.45",NA,"summer","14:40:00","14:54:00","1","1","1","1","4","none","Monthly",NA,NA,"",NA,NA,"180_rep3","sample","sample",NA,"180",3
"L1_0.45_Apr23",467,"April",2023,"03.05.2023","B1","L1","0.45",NA,"summer","13:25:00","14:03:00","1","1","1","1","4","N","Monthly",NA,NA,"",NA,NA,"181_rep1","sample","sample",NA,"181",1
"L2_0.45_Apr23",468,"April",2023,"03.05.2023","B1","L2","0.45",NA,"summer","13:27:00","14:03:00","1","0,86","0,58","0,43","2,87","none","Monthly",NA,NA,"",NA,NA,"182_rep2","sample","sample",NA,"182",2
"L3_0.45B_Apr23",469,"April",2023,"03.05.2023","B1","L3","0.45","blue","summer","13:25:00","13:53:00","1","1","1","1","4","NP","Monthly",NA,NA,"",NA,NA,"183_rep2","sample","sample",NA,"183",2
"L3_0.45O_Apr23",470,"April",2023,"03.05.2023","B1","L3","0.45","orange ","summer","13:25:00","13:53:00","1","1","1","1","4","NP","Monthly",NA,NA,"",NA,NA,"184_rep3","sample","sample",NA,"184",3
