Sample_ID;plate_no;plate_col;plate_row
175-rep1;1;1;B
176-rep1;1;1;C
177-rep1;1;1;D
178-rep1;1;1;E
179-rep1;1;1;F
180-rep1;1;1;G
181-rep1;1;2;E
182-rep1;1;2;F
183-rep1;1;2;G
184-rep1;1;2;H
185-rep1;1;3;A
186-rep1;1;3;B
187-rep1;1;3;D
188-rep1;1;3;H
189-rep1;1;4;A
190-rep1;1;4;B
191-rep1;1;4;C
192-rep1;1;4;E
193-rep1;1;4;F
194-rep1;1;4;G
195-rep1;1;5;C
196-rep1;1;5;D
197-rep1;1;5;F
198-rep1;1;5;G
199-rep1;1;5;H
200-rep1;1;6;A
201-rep1;1;6;B
202-rep1;1;6;G
203-rep1;1;6;H
204-rep1;1;7;A
205-rep1;1;7;B
206-rep1;1;7;C
207-rep1;1;7;D
208-rep1;1;7;E
209-rep1;1;8;B
210-rep1;1;8;C
211-rep1;1;8;D
212-rep1;1;8;E
213-rep1;1;8;F
214-rep1;1;8;G
215-rep1;1;9;A
216-rep1;1;9;E
217-rep1;1;9;F
218-rep1;1;9;H
219-rep1;1;10;A
220-rep1;1;10;B
221-rep1;1;10;C
222-rep1;1;10;D
223-rep1;1;11;A
224-rep1;1;11;B
225-rep1;1;11;C
226-rep1;1;11;F
227-rep1;1;11;G
228-rep1;1;11;H
229-rep1;1;12;E
230-rep1;1;12;F
231-rep1;1;12;G
232-rep1;1;12;H
B01-rep1;1;1;A
B02-rep1;1;2;B
B03-rep1;1;3;C
B04-rep1;1;4;D
B05-rep1;1;5;E
B06-rep1;1;6;F
B07-rep1;1;7;G
B08-rep1;1;8;H
B09-rep1;1;9;G
B10-rep1;1;10;F
B11-rep1;1;11;E
B12-rep1;1;12;D
E00-rep1;1;1;H
E01-rep1;1;2;A
E02-rep1;1;3;E
E03-rep1;1;4;H
E04-rep1;1;6;C
E05-rep1;1;7;F
E06-rep1;1;9;B
E07-rep1;1;10;E
E08-rep1;1;12;A
E75-rep1;1;11;D
N01-rep1;1;2;C
N02-rep1;1;3;F
N03-rep1;1;5;A
N04-rep1;1;6;E
N05-rep1;1;7;H
N06-rep1;1;9;C
N07-rep1;1;10;G
N08-rep1;1;12;B
P01-rep1;1;2;D
P02-rep1;1;3;G
P03-rep1;1;5;B
P04-rep1;1;6;D
P05-rep1;1;8;A
P06-rep1;1;9;D
P07-rep1;1;10;H
P08-rep1;1;12;C
175-rep2;2;1;B
176-rep2;2;1;C
177-rep2;2;1;D
178-rep2;2;1;E
179-rep2;2;1;F
180-rep2;2;1;G
181-rep2;2;2;E
182-rep2;2;2;F
183-rep2;2;2;G
184-rep2;2;2;H
185-rep2;2;3;A
186-rep2;2;3;B
187-rep2;2;3;D
188-rep2;2;3;H
189-rep2;2;4;A
190-rep2;2;4;B
191-rep2;2;4;C
192-rep2;2;4;E
193-rep2;2;4;F
194-rep2;2;4;G
195-rep2;2;5;C
196-rep2;2;5;D
197-rep2;2;5;F
198-rep2;2;5;G
199-rep2;2;5;H
200-rep2;2;6;A
201-rep2;2;6;B
202-rep2;2;6;G
203-rep2;2;6;H
204-rep2;2;7;A
205-rep2;2;7;B
206-rep2;2;7;C
207-rep2;2;7;D
208-rep2;2;7;E
209-rep2;2;8;B
210-rep2;2;8;C
211-rep2;2;8;D
212-rep2;2;8;E
213-rep2;2;8;F
214-rep2;2;8;G
215-rep2;2;9;A
216-rep2;2;9;E
217-rep2;2;9;F
218-rep2;2;9;H
219-rep2;2;10;A
220-rep2;2;10;B
221-rep2;2;10;C
222-rep2;2;10;D
223-rep2;2;11;A
224-rep2;2;11;B
225-rep2;2;11;C
226-rep2;2;11;F
227-rep2;2;11;G
228-rep2;2;11;H
229-rep2;2;12;E
230-rep2;2;12;F
231-rep2;2;12;G
232-rep2;2;12;H
B01-rep2;2;1;A
B02-rep2;2;2;B
B03-rep2;2;3;C
B04-rep2;2;4;D
B05-rep2;2;5;E
B06-rep2;2;6;F
B07-rep2;2;7;G
B08-rep2;2;8;H
B09-rep2;2;9;G
B10-rep2;2;10;F
B11-rep2;2;11;E
B12-rep2;2;12;D
E00-rep2;2;1;H
E01-rep2;2;2;A
E02-rep2;2;3;E
E03-rep2;2;4;H
E04-rep2;2;6;C
E05-rep2;2;7;F
E06-rep2;2;9;B
E07-rep2;2;10;E
E08-rep2;2;12;A
E75-rep2;2;11;D
N01-rep2;2;2;C
N02-rep2;2;3;F
N03-rep2;2;5;A
N04-rep2;2;6;E
N05-rep2;2;7;H
N06-rep2;2;9;C
N07-rep2;2;10;G
N08-rep2;2;12;B
P01-rep2;2;2;D
P02-rep2;2;3;G
P03-rep2;2;5;B
P04-rep2;2;6;D
P05-rep2;2;8;A
P06-rep2;2;9;D
P07-rep2;2;10;H
P08-rep2;2;12;C
175-rep3;3;1;B
176-rep3;3;1;C
177-rep3;3;1;D
178-rep3;3;1;E
179-rep3;3;1;F
180-rep3;3;1;G
181-rep3;3;2;E
182-rep3;3;2;F
183-rep3;3;2;G
184-rep3;3;2;H
185-rep3;3;3;A
186-rep3;3;3;B
187-rep3;3;3;D
188-rep3;3;3;H
189-rep3;3;4;A
190-rep3;3;4;B
191-rep3;3;4;C
192-rep3;3;4;E
193-rep3;3;4;F
194-rep3;3;4;G
195-rep3;3;5;C
196-rep3;3;5;D
197-rep3;3;5;F
198-rep3;3;5;G
199-rep3;3;5;H
200-rep3;3;6;A
201-rep3;3;6;B
202-rep3;3;6;G
203-rep3;3;6;H
204-rep3;3;7;A
205-rep3;3;7;B
206-rep3;3;7;C
207-rep3;3;7;D
208-rep3;3;7;E
209-rep3;3;8;B
210-rep3;3;8;C
211-rep3;3;8;D
212-rep3;3;8;E
213-rep3;3;8;F
214-rep3;3;8;G
215-rep3;3;9;A
216-rep3;3;9;E
217-rep3;3;9;F
218-rep3;3;9;H
219-rep3;3;10;A
220-rep3;3;10;B
221-rep3;3;10;C
222-rep3;3;10;D
223-rep3;3;11;A
224-rep3;3;11;B
225-rep3;3;11;C
226-rep3;3;11;F
227-rep3;3;11;G
228-rep3;3;11;H
229-rep3;3;12;E
230-rep3;3;12;F
231-rep3;3;12;G
232-rep3;3;12;H
B01-rep3;3;1;A
B02-rep3;3;2;B
B03-rep3;3;3;C
B04-rep3;3;4;D
B05-rep3;3;5;E
B06-rep3;3;6;F
B07-rep3;3;7;G
B08-rep3;3;8;H
B09-rep3;3;9;G
B10-rep3;3;10;F
B11-rep3;3;11;E
B12-rep3;3;12;D
E00-rep3;3;1;H
E01-rep3;3;2;A
E02-rep3;3;3;E
E03-rep3;3;4;H
E04-rep3;3;6;C
E05-rep3;3;7;F
E06-rep3;3;9;B
E07-rep3;3;10;E
E08-rep3;3;12;A
E75-rep3;3;11;D
N01-rep3;3;2;C
N02-rep3;3;3;F
N03-rep3;3;5;A
N04-rep3;3;6;E
N05-rep3;3;7;H
N06-rep3;3;9;C
N07-rep3;3;10;G
N08-rep3;3;12;B
P01-rep3;3;2;D
P02-rep3;3;3;G
P03-rep3;3;5;B
P04-rep3;3;6;D
P05-rep3;3;8;A
P06-rep3;3;9;D
P07-rep3;3;10;H
P08-rep3;3;12;C
