Sample_ID;Sample_Type;type;control_type;Sample;Sample_pla;Replicate
E00-rep1;extraction;control;extraction;E00;E00;1
E01-rep1;extraction;control;extraction;E01;E01;1
E02-rep1;extraction;control;extraction;E02;E02;1
E03-rep1;extraction;control;extraction;E03;E03;1
E04-rep1;extraction;control;extraction;E04;E04;1
E05-rep1;extraction;control;extraction;E05;E05;1
E06-rep1;extraction;control;extraction;E06;E06;1
E07-rep1;extraction;control;extraction;E07;E07;1
E75-rep1;extraction;control;extraction;E75;E75;1
E00-rep2;extraction;control;extraction;E00;E00;2
E01-rep2;extraction;control;extraction;E01;E01;2
E02-rep2;extraction;control;extraction;E02;E02;2
E03-rep2;extraction;control;extraction;E03;E03;2
E04-rep2;extraction;control;extraction;E04;E04;2
E05-rep2;extraction;control;extraction;E05;E05;2
E06-rep2;extraction;control;extraction;E06;E06;2
E07-rep2;extraction;control;extraction;E07;E07;2
E75-rep2;extraction;control;extraction;E75;E75;2
E00-rep3;extraction;control;extraction;E00;E00;3
E01-rep3;extraction;control;extraction;E01;E01;3
E02-rep3;extraction;control;extraction;E02;E02;3
E03-rep3;extraction;control;extraction;E03;E03;3
E04-rep3;extraction;control;extraction;E04;E04;3
E05-rep3;extraction;control;extraction;E05;E05;3
E06-rep3;extraction;control;extraction;E06;E06;3
E07-rep3;extraction;control;extraction;E07;E07;3
E75-rep3;extraction;control;extraction;E75;E75;3
13-rep1;negative_control;control;extraction;13;ctrl_0.45_Monthly_April22;1
24-rep1;negative_control;control;extraction;24;ctrl_0.45_Monthly_May22;1
34-rep1;negative_control;control;extraction;34;ctrl_0.45_Monthly_June22;1
57-rep1;negative_control;control;extraction;57;ctrl_0.45_Monthly_July22;1
13-rep2;negative_control;control;extraction;13;ctrl_0.45_Monthly_April22;2
24-rep2;negative_control;control;extraction;24;ctrl_0.45_Monthly_May22;2
34-rep2;negative_control;control;extraction;34;ctrl_0.45_Monthly_June22;2
57-rep2;negative_control;control;extraction;57;ctrl_0.45_Monthly_July22;2
13-rep3;negative_control;control;extraction;13;ctrl_0.45_Monthly_April22;3
24-rep3;negative_control;control;extraction;24;ctrl_0.45_Monthly_May22;3
34-rep3;negative_control;control;extraction;34;ctrl_0.45_Monthly_June22;3
57-rep3;negative_control;control;extraction;57;ctrl_0.45_Monthly_July22;3
1-rep1;sample;sample;NA;1;L1_0.45_April22;1
